municode,iid,choice1,blue1,win1,group,grpmem,cogrpmem,idgroup,choice2,blue2,win2,renegade,renegadewin,head,urbr_2,female,yage,ysch,married,tcons,lcons,survhhsz,familyoutdeg,friendsoutdeg,insample
6,629,6,0,0,1,8,7,602,2,1,5700,0,0,1,0,1,40,8,0,472823.16,13.066477,9,0,3,1
6,626,2,0,2700,1,8,7,602,3,0,2400,1,0,0,0,1,19,10,0,484802.84,13.091497,10,0,2,1
6,628,4,1,9000,1,8,7,602,3,1,7200,0,0,0,0,1,23,9,1,733951.13,13.506198,8,0,1,1
6,624,2,1,5700,1,8,7,602,6,1,12000,0,0,0,0,1,78,0,1,558352.81,13.232746,6,0,1,1
6,627,5,0,1000,1,8,7,602,4,1,9000,0,0,0,0,1,68,0,1,720865.06,13.488207,18,0,0,1
6,635,5,0,1000,1,12,11,603,3,1,7200,0,0,1,0,1,34,6,1,429594.09,12.970596,4,0,2,1
6,641,5,0,1000,1,12,11,603,3,0,2400,0,0,0,0,1,35,4,1,521578.34,13.164615,6,0,1,1
6,639,2,0,2700,1,12,11,603,2,1,5700,0,0,0,0,1,37,0,1,344592.25,12.750117,9,0,1,1
6,637,2,0,2700,1,12,11,603,1,0,3000,0,0,1,1,0,43,4,1,324817.09,12.691017,7,0,6,1
6,632,4,0,1800,1,12,11,603,3,0,2400,0,0,1,0,1,31,4,1,315036.56,12.660444,4,1,1,1
6,636,4,1,9000,1,12,11,603,5,0,1000,0,0,0,0,1,24,4,1,386682.16,12.865358,16,0,0,1
6,634,1,0,3000,1,12,11,603,4,0,1800,0,0,1,0,0,43,4,0,403760.94,12.908578,6,0,1,1
6,638,4,1,9000,1,12,11,603,4,1,9000,0,0,1,0,0,52,1,1,440472.91,12.995605,7,0,0,1
6,633,5,0,1000,1,12,11,603,4,0,1800,0,0,1,0,0,54,3,1,243476.2,12.402775,5,0,2,1
6,631,4,1,9000,1,12,11,603,2,0,2700,0,0,0,0,1,46,0,1,463794.34,13.047196,26,0,2,1
6,640,5,1,11000,1,12,11,603,1,0,3000,1,0,0,0,0,63,0,0,216220.83,12.284056,7,0,2,1
6,630,6,0,0,1,12,11,603,3,1,7200,1,1,1,0,1,46,2,1,322611.59,12.684204,9,0,3,1
6,601,4,1,9000,1,8,7,604,2,0,2700,0,0,0,1,1,28,4,1,475521.5,13.072167,6,0,3,1
6,606,4,1,9000,1,8,7,604,3,1,7200,0,0,1,0,1,56,1,0,451753.63,13.020892,9,0,2,1
6,608,4,1,9000,1,8,7,604,4,1,9000,0,0,0,1,1,51,0,1,734697.81,13.507215,8,0,1,1
6,607,2,1,5700,1,8,7,604,4,0,1800,0,0,0,0,1,32,5,1,322593.81,12.684149,7,0,0,1
6,602,4,0,1800,1,8,7,604,2,0,2700,0,0,0,0,1,44,3,1,224436.11,12.321346,6,0,2,1
6,603,2,0,2700,1,8,7,604,4,0,1800,0,0,1,1,0,48,2,0,389070.09,12.871514,4,0,2,1
6,604,3,0,2400,1,8,7,604,5,0,1000,0,0,1,0,0,51,2,1,609086.75,13.319716,12,0,2,1
6,605,3,1,7200,1,8,7,604,3,0,2400,0,0,1,1,0,57,0,1,353399.63,12.775354,7,0,1,1
6,617,4,0,1800,1,4,3,605,2,0,2700,0,0,0,1,1,,,0,409045.06,12.92158,9,0,4,
6,616,4,1,9000,1,4,3,605,4,0,1800,0,0,0,1,1,29,3,1,330057.75,12.707023,11,1,3,1
6,615,2,0,2700,1,4,3,605,4,1,9000,0,0,1,1,0,58,0,1,434694.13,12.982398,15,0,3,1
6,614,4,1,9000,1,4,3,605,3,1,7200,0,0,1,1,0,56,1,1,294488.25,12.592995,7,0,4,1
6,619,5,1,11000,1,4,3,606,4,0,1800,1,0,0,1,1,42,0,1,158905.42,11.976065,8,0,2,1
6,618,2,0,2700,1,4,3,606,4,1,9000,1,1,1,0,0,41,4,0,173965.86,12.066614,8,0,1,1
